movie_id,imdb_id,tmdb_id,rating,average_rating,title
145,0112442,9737,3.0,3.28003,Bad Boys (1995)
367,0110475,854,0.5,3.18724,The Mask (1994)
788,0117218,9327,0.5,2.82557,The Nutty Professor (1996)
1682,0120382,37165,1.0,3.87937,The Truman Show (1998)
2572,0147800,4951,4.0,3.55018,10 Things I Hate About You (1999)
2706,0163651,2105,5.0,3.28374,American Pie (1999)
3114,0120363,863,2.0,3.81044,Toy Story 2 (1999)
3157,0164912,10137,5.0,2.8572,Stuart Little (1999)
3948,0212338,1597,3.5,3.39353,Meet the Parents (2000)
4018,0207201,3981,1.5,3.09623,What Women Want (2000)
4306,0126029,808,0.5,3.74825,Shrek (2001)
4718,0252866,2770,5.0,2.88666,American Pie 2 (2001)
4776,0139654,2034,2.5,3.72874,Training Day (2001)
4890,0256380,9889,1.5,2.81262,Shallow Hal (2001)
4974,0277371,11397,5.0,2.65254,Not Another Teen Movie (2001)
5218,0268380,425,5.0,3.53311,Ice Age (2002)
5418,0258463,2501,1.0,3.90689,The Bourne Identity (2002)
5480,0243585,10996,5.0,2.50824,Stuart Little 2 (2002)
5621,0290095,10771,2.0,2.55928,The Tuxedo (2002)
5785,0322802,9012,3.0,2.90082,Jackass: The Movie (2002)
6006,0305711,12090,3.5,2.6676,Just Married (2003)
6287,0305224,9506,5.0,2.93883,Anger Management (2003)
6373,0315327,310,4.0,3.21899,Bruce Almighty (2003)
6377,0266543,12,1.0,3.82721,Finding Nemo (2003)
6550,0274166,9486,4.0,2.92251,Johnny English (2003)
6586,0328828,8273,5.0,2.89449,American Wedding (2003)
6888,0306047,4256,1.5,2.43606,Scary Movie 3 (2003)
7293,0343660,1824,1.0,3.27589,50 First Dates (2004)
7317,0356150,9352,5.0,3.2962,EuroTrip (2004)
7325,0335438,9384,5.0,2.93148,Starsky & Hutch (2004)
7346,0265208,10591,5.0,3.30807,The Girl Next Door (2004)
8531,0381707,12153,1.0,2.44503,White Chicks (2004)
8665,0372183,2502,1.0,3.85265,The Bourne Supremacy (2004)
8807,0366551,11282,5.0,3.44411,Harold & Kumar Go to White Castle (2004)
30793,0367594,118,3.0,3.13971,Charlie and the Chocolate Factory (2005)
31696,0360486,561,4.0,3.47529,Constantine (2005)
32031,0358082,9928,4.0,3.14846,Robots (2005)
33145,0391304,8976,3.0,3.43367,A Lot Like Love (2005)
33615,0351283,953,4.0,3.35713,Madagascar (2005)
33646,0398165,9291,0.5,3.07536,The Longest Yard (2005)
35836,0405422,6957,4.0,3.45983,The 40 Year Old Virgin (2005)
36519,0388482,9335,5.0,3.17403,Transporter 2 (2005)
36525,0425123,9007,4.0,3.49576,Just Like Heaven (2005)
39715,0436058,8274,5.0,2.53173,American Pie Presents: Band Camp (2005)
40581,0433400,10033,2.0,3.12143,Just Friends (2005)
44022,0438097,950,4.0,3.24826,Ice Age: The Meltdown (2006)
45501,0452594,9767,3.5,2.87114,The Break-Up (2006)
45672,0389860,9339,5.0,2.89155,Click (2006)
45720,0458352,350,3.0,3.50474,The Devil Wears Prada (2006)
46335,0463985,9615,5.0,2.88799,The Fast and the Furious: Tokyo Drift (2006)
47099,0454921,1402,5.0,3.85725,The Pursuit of Happyness (2006)
51935,0822854,7485,4.0,3.61322,Shooter (2007)
53121,0413267,810,2.0,2.89992,Shrek the Third (2007)
54286,0440963,2503,1.5,3.91619,The Bourne Ultimatum (2007)
54503,0829482,8363,5.0,3.76055,Superbad (2007)
59022,0481536,13335,5.0,3.13114,Harold & Kumar Escape from Guantanamo Bay (2008)
59333,0866439,10761,2.5,3.15009,Made of Honor (2008)
60514,0373051,88751,5.0,2.83413,Journey to the Center of the Earth (2008)
63479,1135985,13523,5.0,3.19855,Sex Drive (2008)
64030,1129442,13387,5.0,3.16024,Transporter 3 (2008)
64034,0914798,14574,3.0,3.8139,The Boy in the Striped Pyjamas (2008)
65802,1114740,14560,4.0,2.35414,Paul Blart: Mall Cop (2009)
67295,1287845,15854,0.5,3.54941,Kung Fu Panda: Secrets of the Furious Five (2008)
68135,0974661,16996,3.5,3.07038,17 Again (2009)
69122,1119646,18785,5.0,3.60572,The Hangover (2009)
69406,1041829,18240,3.0,3.49262,The Proposal (2009)
69644,1080016,8355,2.5,3.28476,Ice Age: Dawn of the Dinosaurs (2009)
70183,1142988,20943,2.0,3.2484,The Ugly Truth (2009)
